26870816_1	newly generated mir-23a destabilizes keap1 mrna by binding to its 3'utr.
26870816_2	mir-23a overexpression led to a statistically significant decrease in luciferase expression, showing that keap1 mrna was a direct mir-23a target .
26870816_3	this regulation was physiologically relevant, because cells that overexpressed mir-23a increased expression of endogenous nqo-1 mrna .
21885851_1	as shown in figure 2a to 2c, both mir-16 and mir-424 significantly decreased vegfr2, fgfr1, and vegf protein and mrna levels.
21885851_2	importantly, inhibition of endogenous mir-16 or mir-424 increased the expression of vegfr2, fgfr1, and vegf at both the protein and mrna levels .
21885851_3	the targeting activity of these mirnas on vegfr2 and fgfr1 was also relevant for human aortic ecs , a human adult ec type from a different vascular bed than huvecs.
21885851_5	as shown in figure 3c, stimulation of huvecs with vegf reduced both vegfr2 and fgfr1 3'utr activity, whereas no effect was observed when cells were transfected with the empty vector control, indicating that some endogenous mirnas involved in the regulation of vegfr2 and fgfr1 were induced to regulate their expression under stimulated conditions.
21885851_6	interestingly, endogenous inhibition of mir-16 or mir-424 before vegf stimulation restored vegfr2 and fgfr1 3'utr activity , indicating that these effects are likely to be mediated by mir-16 and mir-424 upregulation in ecs.
21885851_7	altogether, these data indicate that mir-16/-424 regulates cell-intrinsic angiogenic responses in vitro and are consistent with their targeting activity on vegfr2, fgfr1, and vegf in ecs.
21885851_8	altogether, these data suggest that these mirnas are likely to control proliferation, migration, and differentiation of ecs by regulation of vegf and bfgf signaling through vegfr2 and fgfr1.
25658461_2	we found that transfecting mscs with mir-133a mimic improves survival of mscs as determined by the mtt assay.
25658461_3	similarly, transplantation of mir-133a mimic transfected mscs in rat hearts subjected to mi led to a significant increase in cell engraftment, cardiac function, and decreased fibrosis when compared with mscs only or mi groups.
25658461_4	at the molecular level, quantitative real-time polymerase chain reaction data demonstrated a significant decrease in expression of the proapoptotic genes; apaf-1, caspase-9, and caspase-3 in the mir-133a mimic transplanted group.
25658461_5	furthermore, luciferase reporter assay confirmed that mir-133a is a direct target for apaf-1.
20466882_1	these studies show that abca1 expression is repressed by excess mir-33, especially in mouse j774 macrophages and the human imr-90 fibroblasts .
20466882_2	taken together,these findings demonstrate that abca1 protein expression is regulated by mir-33a b.
20466882_3	together, these results suggest that mir-33a b inhibit expression of human abca1 by targeting the abca1 3'utr for translation repression or mrna degradation.
20466882_4	these findings demonstrate that mir-33 posttranscriptional repression of abca1 results in retention of intracellular cholesterol in macrophages and are in keeping with our hypothesis that mir-33 regulates cholesterol trafficking by controlling abca1 levels.
23305858_1	our observations also suggest that hsa-let-7 g acts as a critical regulator of autophagy and apoptosis by modulating lox-1.
24833879_3	this observation indicated that fn1 was one of the potential targets of mir-204-3p.
24833879_4	after over-expression of mir-204-3p in hcc tecs, western blot analysis showed that the expression of fn1 protein was significantly inhibited.
23894411_1	mir-19a has been shown to regulate socs1 expression during mutiple myeloma and be induced by the anti-viral cytokine interferon- -alpha, suggesting a role in the regulation of the jak-stat pathway.
26572705_1	in addition, vhl was identified as a functional target of mir-566. in the present study, vhl was identified as a functional target of mir-566, and was shown to regulate the expression of vegf by targeting hif-1 alpha for degradation.
26572705_2	these results indicate that the vhl gene is a direct target of mir-566.
26572705_3	furthermore, the invasive and migratory abilities of the cells may be suppressed following the inhibition of mir-566, suggesting that mir-566 is able to modulate vegf by targeting vhl in vivo.
22482882_1	ipc enhances stem cell survival via the combined participation of hypoxia responsive mirs mir-107 and mir-210 via their respective putative target genes pdcd10 and casp8ap2.
21816922_1	p21cip1 is a well-characterized target for mir-17-92 family members, with a 3'-untranslated region that is directly regulated by micrornas in the mir-17 mir-20 mir-106 family .
21816922_2	p57kip2 is also a validated mir-17-92 target with a 3'utr harboring binding sites for mir-92 .
21816922_3	mir-17-92 status was not associated with alteration in the protein levels of another cdki that is also up-regulated uponrb p107 loss, p18ink4c, but lacks 3'utr-binding sites for mir-17-92 family members .
21816922_4	interestingly, p130 protein levels were also reduced when mir-17-92 was overexpressed together with rb p107 deletion .
21816922_5	p130 has also been reported to be a direct target for mir-17-92-encoded micrornas .
21816922_6	inhibition of mir-17 20 also led to up-regulation of p21cip1, consistent with p21cip1 being a direct reported target of mir-17 20 .
21816922_7	these data indicate that mir-17 20 inhibition suppresses proliferation in retinoblastoma cell lines, while mir-19 inhibition has little consequence.
21816922_8	moreover, our observations of p21cip1 up-regulation upon mir-17-92 inhibition in human retinoblastoma cells and p21cip1 suppression upon mir-17-92 overexpression in murine retinas suggested that p21cip1 may be a critical mir-17-92 target in retinoblastoma.
22203953_2	coinjection of anti-bcl-2 antibody in zygotes partially reversed but injection of bcl-2 protein mimicked the effect of mir-34c inhibition.
22203953_3	oocyte activation is essential for the mir-34c action in zygotes, as demonstrated by a decrease in 3'utr luciferase reporter activity and bcl-2 expression after injection of precursor mir-34c into parthenogenetic oocytes.
22203953_4	fig.3 bcl-2 is a target of mir-34c.
22203953_5	we also found lower bcl-2 3'utr reporter activities in parthenogenic oocytes injected with precursor mir-34c .
22203953_6	bcl-2 mediates the action of mir-34c on the first cleavage.
22203953_7	bcl-2 is a direct target of mir-34c, as shown by reporter assay and western blotting in jar cells and zygotes.
25175832_1	furthermore, we found that mir-124a directly targeted and suppressed iq motif containing gtpase activating protein 1 , a well-known regulator of actin dynamics and cell motility.
25175832_2	iqgap1 is a direct target of mir-124 a in the u87 cells.
25175832_3	the results demonstrated that iqgap1 is a direct target of mir-124a.
25175832_4	luciferase assay demonstrated that iqgap1 is a direct target of mir-124a.
20558762_2	since mir-802 and the hat1r protein are expressed in similar colon cell types, this suggests that mir-802 may play a physiological role in regulating the expression of the hat1r in the gi system.
20558762_3	these results indicate that mir-802 can interfere with luciferase mrna translation by direct interaction with the hat1r 3'utr at the predicted targetsite.
20558762_4	taken together, gain-of-function experiments suggest that mir-802 can decrease hat1r expression by inhibiting translation of the mrna, rather than targeting for degradation
22094713_1	furthermore, we verified that mir-29b directly targeted and inhibited bcl2l2 gene expression, and then increased neuronal cell death.
22094713_2	importantly, bcl2l2 overexpression rescued neuronal cell death induced by mir-29b.
22094713_3	mir-29b targets and inhibits bcl2l2 gene expression.
22094713_4	these observations confirmed that mir-29b inhibited the expression of endogenous anti-apoptotic bcl-2 family members in neuronal cells.
22094713_5	these data confirm that mir-29b promoted neuronal cell death, at least in part, by repressing bcl2l2.
26918829_1	pten is a well-known target gene of mir-19b . in the current study, immunoblot analysis showed that pten was inversely regulated by mir-19b in h9c2 cells.
26918829_2	qrt-pcr analysis for mir-19b level in h9c2 cardiomyocytes transfected with mir-19b mimic, inhibitor, or respective negative controls .
26918829_3	these data suggest that pten is responsbile for the effects of mir-19b in h2o2-induced apoptosis in h9c2 cardiomyocytes .
25613180_1	this study demonstrated that biochanin a promoted eralpha-positive cell proliferation through mir-375 activation and this mechanism is possibly involving in a mir-375 and eralpha feedback loop.
18278031_2	mir-223 mutant mice have an expanded granulocytic compartment resulting from a cell-autonomous increase in the number of granulocyte progenitors.
18278031_3	mef2c, a transcription factor that promotes myeloid progenitor proliferation, is a target of mir-223, and that genetic ablation of mef2c suppresses progenitor expansion and corrects the neutrophilic phenotype in mir-223 null mice. in addition, granulocytes lacking mir-223 are hypermature, hypersensitive to activating stimuli and display increased fungicidal activity.
26260688_1	bioinformatic analysis using the targetscan and miranda algorithm indicated that the 3'utr of hif-1alpha contained a predicted binding site for mir-338-3p .
26260688_2	to demonstrate that mir-338-3p directly targets hif-1alpha by interacting with its 3'utr, we co-transfected the pgl luciferase reporter plasmid harboring the wild-type or mutant 3'utr of hif-1alpha, along with mir-338-3p or nc mirna .
26260688_3	overexpressed mir-338-3p resulted in significant reduction of hif-1alpha 3'utr firefly luciferase reporter activity containing wild-type but not mutant binding sites compared to that of nc-mirna.
26260688_4	in summary, these results indicate that hif-1alpha was a direct target gene of mir-338-3p in npc cells.
26260688_5	immunofluorescence staining revealed that hif-1alpha expression was inhibited by transfection with mir-338-3p mimics and was promoted by transfection with mir-338-3p inhibitor.
19155302_1	mcl-1 is a direct target of mir-101.
19155302_3	we found that ectopic expression of mir-101 caused a dose-dependent decrease in mcl-1 protein but not mrna level .
19155302_4	moreover, inhibition of endogenous mir-101 by synthetic mir-101 inhibitor resulted in up-regulation of the mcl-1 protein .
19155302_5	these data suggest that mir-101 may inhibit the expression of mcl-1 at posttranscriptional level by directly targeting the 3'utr of mcl-1 mrna.
22287560_1	combining global gene expression analyses of mir-30a-5p transgenic line hct116 with in silico mirna targetprediction, we identified the denticleless protein homolog as a potential mirna-30a-5p target subsequent reporter gene assays confirmed the predicted mir-30a-5p binding site in the 3'untranslated region of dtl.
22287560_2	importantly, overexpression of dtl in hct116 cells partially rescued these cells from mir-30a-5p-mediated growth suppression.
22287560_3	mir-30a-5p regulates dtl directly via both predicted mir-30a-5p binding sites.
22287560_5	taken together, these results indicate that mir-30a-5p regulates dtl directly via both predicted mir-30a-5p binding sites.
22287560_7	4.luciferase assay: mir-30a-5p target dtl.
26881967_1	here, we demonstrate that in heterogeneous gsc, mir-10b regulates cell cycle and alternative splicing, often through the non-canonical targeting via 5 ' utrs of its target genes, including mbnl1-3, sart3, and rsrc1.
26881967_2	deletion of mir-10b binding sites completely reversed the regulation of mbnl2 and mbnl3 5 ' utrs, confirming direct targeting of these splicing factors through their 5 ' utrs .
26881967_3	altogether, these results indicate that mir-10b directly binds to and fine-tunes expression of multiple splicing factors in gsc, through their 5 ' utrs and 3 ' utrs, via both seed- and non-seed-mediated targeting.
26881967_4	furthermore, expression of many rna-binding proteins involved in splicing appeared regulated by mir-10b; among them, we validated several regulators of alternative splicing as direct mir-10b targets.
26881967_5	these new targets included the mbnl family , sart3, rsrc1, srsf11, ptbp2, and dgcr14.
21958558_1	mir-181 targets multiple bcl-2 family members and influences apoptosis and mitochondrial function in astrocytes.
21368194_1	the case of let-7 is particularly exciting because it targets cdc34 and leads to wee1 stabilization and g2 m accumulation .
21368194_3	most importantly, the restoration of the expression of tumor-suppressor mirnas in rko cells upon enoxacin treatment was associated with the down-regulation of their respective target oncoproteins, as we observed for myc and k-ras .
21368194_4	the restoration of the expression of tumor-suppressor mirnas in the tumors upon enoxacin treatment was associated with the down-regulation of their respective target oncoproteins, such as we observed for myc and k-ras .
26184978_1	on each foxn3 and atp8a1 3'utr, there are also target positions predicted for the two mirnas .
26184978_2	then, we cloned the 3'utr fragments of foxn3 and atp8a1 containing the putative mir-135b-5p or mir-499a-3p corresponding binding sequence into a luciferase reporter construct, respectively.
26184978_3	indeed, overexpression of mir-135b-5p or mir-499a-3p significantly inhibited the luciferase activity of wt 3'utr of foxn3 , whereas there was no significant reduction in luciferase activity when cotransfected with mir-135b-5p and its corresponding pmirglo-atp8a1-wt .
26184978_4	it will be interesting to study the regulations by which mir-135b-5p and mir-499a-3p target foxn3 gene in further studies;
22782903_2	matrix metallopeptidase 13 was identified as a direct target suppressed by mir-125b, and there was an inverse relationship between the expression of mir-125b and mmp13 in cscc.
22782903_3	thus, knockdown of mmp13 can phenocopy the effects of overexpression of mir-125b in cscc cells, indicating that mmp13 is a key mediator of the tumor suppressive effects of mir-125b in cscc.
26307684_1	here we report that caspase3 and caspase7 are previously unidentified targets of mir-224 in nsclc, and that mir-224 promotes lung cancer cells proliferation and migration in part by directly targeting casp7 and down-regulating its expression.
26307684_2	here, we show that mir-224 is involved in the lung cancer pathogenesis through direct targeting of casp3 and casp7.
26307684_3	co-transfection of mir-224 with the 3'utr mutants of either casp3 or casp7 significantly impaired the reduction capability of mir-224 on the luciferase activity of corresponding wild-type 3'-utrs , suggesting that mir-224 negatively regulates casp3 and casp7 expressions by directly interacting with their 3'-utrs.
26307684_4	in summary, these results confirm that mir-224 directly targets casp3 and casp7 in lung cancer cells.
